"연도","자치구명","여자","살인","강도","강간","절도","폭력","건수"
2022,"양천구",24779,2,3,114,1474,1576,3169
2022,"강서구",55313,3,7,261,1991,2401,4663
2022,"구로구",30160,11,8,217,1565,2056,3857
2022,"금천구",23636,2,3,127,1118,1327,2577
2022,"영등포구",37562,5,10,327,2062,2415,4819
2022,"동작구",37658,2,5,212,1195,1321,2735
2022,"관악구",69168,10,9,327,1966,2567,4879
2022,"서초구",26106,3,3,431,1921,2101,4459
2022,"강남구",41731,12,11,667,2495,3762,6947
2022,"송파구",45764,2,5,290,2201,2669,5167
2022,"강동구",32138,5,5,157,1672,1872,3711
